Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Kidney - Medulla,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood,Row Mean
3.3747950963398834,3.2863705860729384,3.030353809313455,3.4142170168584003,3.4083154726600244,3.2402581933314125,3.4272499960359135,2.2748456898610674,2.421543864809815,2.473523117954447,3.1376184161659593,3.078618405745037,2.637303235625084,2.7955651027097366,2.269387519797086,2.5881333270781464,2.546877085922699,2.212698729843941,2.8804960518330747,2.4160695583314666,3.378733507953101,3.7887824382437967,3.259671762689853,3.3999485500012314,3.613007624082215,3.2130571615708536,3.156741064058955,3.0720134520984175,3.1637161131353433,3.0898433844728137,3.620492170983998,2.455526603753651,1.8983521982809324,2.50890446923592,2.8869238740998413,2.1795743567289647,3.885545080246536,3.2458420103970362,2.163110743068302,3.6593383469629193,3.414999897356397,1.9497290742383968,3.379577089232918,3.4752729161300935,3.239354494061595,3.2656523869127096,3.474488181384113,3.792040473784269,2.9145885249509096,3.606784848082585,3.567490867783277,3.5448986637211024,3.4302270881869,2.4479922008189474,3.0380826276851574
3.5763683539119175,3.445380871616017,3.210578870084098,3.5942909206546565,3.58427331671411,3.4964458577055972,3.5877195271682463,2.4137117212052304,2.594082863970223,2.630697132639294,3.3379032264420267,3.269914513065998,2.8387232586324287,2.9463950736996605,2.447151979551003,2.7544885641686907,2.680725833272995,2.3822014103525517,3.017308487107239,2.5324590561081584,3.5640169668250774,3.937064497089445,3.5383749516784855,3.659787309105918,3.7997189427715976,3.3921091876092055,3.3555189139748878,3.3169499496818857,3.341497273577053,3.2895571531148495,3.7887546127819207,2.5314354381688493,1.9686263231115215,2.5283616417669523,3.0365941516285972,2.235346472891251,3.9404164853148305,3.3706227372594286,2.3920802856777774,3.865435619205459,3.6495304058713858,2.12642111710767,3.51389859425224,3.570690050788232,3.477522830312007,3.56210254641762,3.586610657483256,3.8180279350252833,3.067765452693495,3.872946995618827,3.7798346725678877,3.791324842930001,3.705048104615864,2.3437105121673505,3.2047874901695597
2.4503231133832633,2.337688847483715,1.8729330433449485,2.564576609414955,2.335796492805716,2.3504688380805887,2.4836524174211116,1.249966774074125,1.4488042429096208,1.639704386789961,1.9190453122549345,1.9536629054560135,1.671291065344679,1.7224173838826446,1.224857332593777,1.5777426701524246,1.6711081427011323,1.3491710435333732,1.7782276867677052,1.2208401198202428,2.4225889915432686,2.3143538291511394,2.5958144716099407,2.5490970643436355,2.548951454574925,2.2456292950856755,2.2157884384022823,2.153081222547589,2.6443482015596653,2.146162835259371,2.7707756897017615,1.6135046890784244,1.0063277067173884,1.3017120963083313,1.7395491349244958,0.7466098209118093,3.0451412921605847,2.249319536507892,0.8340663564884343,2.7960010360424734,2.4659579412711006,0.9236533761748522,2.167348677707958,2.4898665379887683,2.5193351678701825,2.624908292396508,2.4319971109800322,2.319445207265585,1.9221244231783328,3.1305772390199245,2.405070162383113,2.592315981089612,3.0060820705943305,1.1925536838110176,2.0546729159789883
3.6376381934975504,3.536512011004166,3.2656743857469466,3.6686230105380675,3.6877457648391783,3.5891926107443,3.7241852490873493,2.4452745390193593,2.6147694906826784,2.672064962111405,3.5410357990808703,3.4752151519560126,2.8322572708300817,2.9682350180189463,2.4889879304633116,2.802519118759929,2.735649195432463,2.4160047974731453,3.114571118426434,2.6071482819903027,3.6364998260991053,4.051658974335752,3.8193355345895625,3.8900972275185275,3.9962790930199734,3.5739098851045674,3.411823268779843,3.453999056364419,3.4483554614433025,3.452414796689782,3.9424361686270655,2.5828100789520074,2.0693404992011106,2.6628718880196893,3.1490258604086745,2.2962992472293307,3.9466339088183235,3.4394988330428213,2.4247062169894233,3.983536319370334,3.806832972301737,2.2296100077499763,3.6679338864599225,3.7371795398952963,3.5218262495277806,3.5495789730563243,3.6579157095979262,3.8760282872935967,3.1271730144898453,4.033045946761763,3.921198565528257,3.9678128159140957,3.82750013159454,2.230530787797986,3.300166720968059
3.970797819190903,3.9199110906759116,3.0735093339209834,3.7773686472093817,3.85545044458151,3.8569231512164635,3.941211277921907,2.512268038651686,2.6926607372745863,2.7427974770097596,3.7752618778548865,3.6750926258073733,3.014546498392978,3.1900334373215387,2.605547791708054,3.0424072848242343,2.824348684816524,2.4614578210759057,3.367385446072254,2.73198583090381,4.0727444095759875,3.9369729674606173,3.7834336241333992,4.272823622516024,4.389972878409683,3.907353881270018,3.700182188979609,3.8096863105177126,3.472691501266676,3.778313601184731,4.2327062259931845,3.033582333680478,2.644310598767835,3.2310291282590344,3.7425495636283057,3.1573248397403026,4.242473857134709,3.71488125758635,3.142123243760168,4.423313585714738,4.278740876796934,2.710858504015528,4.35568965030471,3.988394904800156,3.7185277927940894,3.7513596519417898,3.7829989064315206,3.725428467580063,3.4552409357806577,3.8029170214836037,4.348517090998745,4.2320550836235675,4.083358959243157,2.289280410922217,3.5600519109764255
3.328568783289483,3.2097155221145934,2.9167608737976494,3.330870862812182,3.3280904556394972,3.1938690655332347,3.420606620596325,2.149689471666337,2.370909297749241,2.35204983564745,3.3455311367102736,3.345680693407474,2.6326188465449665,2.7146571376494344,2.191974546388413,2.4939668863614033,2.389869837661088,2.1338029507740415,2.7468114632306233,2.296487838295921,3.4154538128887175,3.4575203882066563,3.2288188002909135,3.4873650063521158,3.5592688843855202,3.1887522054881954,3.2811276880582634,3.1406388007740436,3.2551768842726116,3.1379388814861873,3.657722865651533,2.3797750300650518,1.8365657110112557,2.573478002065022,3.065045496826269,2.0624519866650215,3.8502015441459996,3.36466806418812,1.8566065135946004,3.6218992386647018,3.3453989284887617,2.501140724958689,3.5240271748981082,3.5616769932716243,3.3513360096002542,3.4254629830082592,3.564029433716444,3.786890925980885,3.024909883016189,3.7763883675176846,3.797613424648253,3.499786157131577,3.586196528376141,2.0509178065694256,3.039051542076533
3.583293475228628,3.4357421260065313,3.271667435621385,3.6625619506785774,3.6493297198113024,3.611775833463935,3.7085758801289526,2.654847330897431,2.876086057233094,2.877283689243555,3.7902090103408774,3.769087144000855,3.1344759286032677,3.2606599570476904,2.6828129833897485,2.98342539427486,2.9552649948222993,2.625012175544591,3.145952628181933,2.7240117590149073,3.625998411771845,3.494913498437993,3.7015813562533255,3.873760252552938,3.9644652348221667,3.593491454339689,3.408870166801991,3.5272625133824658,3.3974065499360755,3.5018420040068943,3.903665193355722,2.6156337061267747,2.1112200538704364,2.7569029415260133,3.1890490560341376,2.293656335112052,3.8222205082312395,3.414492384629933,2.4637477693885397,3.986668702049536,3.829824773757842,2.2544350938792252,3.7906579111304346,3.740378582082776,3.5775844711026052,3.642889749502514,3.5103704271840233,3.6086474472740004,3.1237900422218057,4.213113097570486,3.9433610777181975,3.9396695865546456,3.797351893061407,1.8249464152463244,3.3304804469342684
3.152808309120898,3.022937328865188,2.7471375153491806,3.2080007791152956,3.1892800170319022,3.2121382333575585,3.2257522070684717,2.0878956106167252,2.2134299072887287,2.250511542305876,2.9995193228881774,3.0061459097064387,2.4438239102352073,2.579023738067509,2.092713015099531,2.3181107989086844,2.336280591987074,1.9825910298203455,2.68579212832298,2.20670583055714,3.316667132314028,3.098256967881207,3.315972423398599,3.4036780665880864,3.5189986085322427,3.0832529883462065,3.3621684991683094,3.0428694199682176,3.2123324938455617,3.0212290446208834,3.437027770091529,2.2704287158321814,1.7492603972301874,2.449885794793133,2.848778595547708,2.061297609746283,3.40654978883298,3.130709496887135,2.093449057215521,3.5562355626254285,3.366374543706809,1.9516128977751266,3.1472164139597516,3.395259837045921,3.266405986803207,3.3375934760196624,3.521691007486716,3.009908038495261,2.9483661273161137,3.6082576400458772,3.4837926597933833,3.37888818283256,3.544476664215449,1.5216189131239988,2.8855760842184845
3.5188040274069112,3.436733021298606,3.1606837575888793,3.554600280921426,3.568333752960029,3.5035103434583834,3.5666117613217807,2.347089106537601,2.502513298498341,2.5538665428124068,3.354603394481426,3.303847619939964,2.7347767384046917,2.8596282972890994,2.3775896467126754,2.6810250578246664,2.6038287154775484,2.3223377317290765,2.969117140097103,2.5188893361961426,3.5272937712819,3.435038540984021,3.5158194590271434,3.6452647745635893,3.7344305271353075,3.3745360611289303,3.2495243307791966,3.322716644948144,3.311552849274212,3.3051705147890895,3.7624532406551516,2.5149967228414623,2.006140611192837,2.6070360307791347,3.0223530767794977,2.4376784240391505,3.8458665381497634,3.334597278913315,2.299361729421373,3.832731150041009,3.622450819056971,2.1042581675817695,3.4679454399038163,3.55094906306107,3.4033016270032044,3.473390781874315,3.439896573630501,3.656455613047871,3.026213266702979,3.832189025725615,3.761098361130808,3.7237392294377125,3.6615920581591124,2.1638867833060185,3.155746641801903
3.1637332848460074,3.124427774882935,2.803755855757993,3.1920425889623987,3.2254160254542272,3.14369724064828,3.18492138854158,2.0763075404199154,2.224198318768335,2.274126568453385,2.9871763357540964,2.9695599762824467,2.4359699745594834,2.5592826521271808,2.0974077823652193,2.3682248119456393,2.3266221095577366,2.0533269317773275,2.6496589509542585,2.2210269946147547,3.2203009361905295,2.8167857169270403,3.1264074794011285,3.30656855898889,3.3770663060442416,3.04872490015807,2.9495818398744227,3.004916730073622,3.0106595815041555,2.988162574616619,3.4461306300565697,2.2475394007451186,1.7177234108240387,2.2810211775962728,2.690509046004696,2.0859179016371376,3.553741433118706,3.0352351547873706,1.9367801743773556,3.498354153797141,3.2583017270477934,1.825701863048187,3.1403550053441514,3.2263811237897486,3.1471161171385034,3.2182884237930014,3.1185004087209194,3.222297967180248,2.7069329630909253,3.507266708241668,3.4317421314467285,3.354468103830705,3.3824976892398895,1.7298580528735517,2.8276429351515247
