tf,log2_GeneExpr
ONECUT1,2.311816860037966
ONECUT2,2.5528342860124704
OSR2,3.020632208482064
OTX2,2.9932969803044505
PAX5,3.387510666505316
PAX6,3.3619276764442065
PBX1,3.5113545248948244
PBX2,3.064168324688773
PBX3,3.343622607273044
PDX1,2.9233109579096257
PHOX2B,2.369326995387064
PKNOX1,3.1505595722625515
PLAG1,3.070698270752441
POU2F1,2.4748306434893292
POU2F2,3.5549838281773196
POU5F1,3.1018644217189997
PPARG,3.4085603108082334
PRDM1,3.134990063573463
PRDM4,3.462652181729036
RARA,3.1095468318280823
RARG,3.5384419271655654
RBPJ,3.503330380367124
REL,3.487424992215452
RELA,3.214891518970709
RELB,3.357896269189422
REST,3.313818817968712
RFX1,2.523171346565323
RFX2,2.2126929288807204
RFX3,3.105994261684904
RFX5,3.5100462712386893
RUNX1,3.1655944811328176
RUNX2,3.2655770950473633
RUNX3,3.1291348037522053
RXRA,3.260337383291464
RXRB,2.9072355596152306
SCRT1,2.76086314104741
SCRT2,2.235475923028796
SIX1,2.139797226417426
SIX2,2.279325995994285
SMAD2,3.012012875254104
SMAD3,3.0799119013727014
SMAD4,2.9874959142409696
SNAI2,2.6187489038848395
SOX10,1.9752479042537963
SOX13,2.955619775675295
SOX17,3.3256087424309433
SOX2,3.109606032142658
SOX4,3.100998319582973
SOX6,3.1371933715929856
SOX9,3.5538336098480467
SP1,2.973153541485203
SP2,3.2672248892139613
SP3,3.3253704978822696
SP4,3.142939909865018
SPDEF,3.4537942903017766
SPI1,3.0620724745028762
SPIB,3.111590039751515
SREBF1,3.5201814709601527
SRF,3.498381883046011
STAT1,3.444274749461477
STAT2,3.5536603887420206
STAT3,3.2729151569580752
STAT4,3.3097780931171017
STAT5A,3.4088522297624047
STAT5B,3.381354066253234
STAT6,2.7469823971646443
T,3.1895009367997864
TAL1,2.786852955758325
TBX21,3.3842833877049165
TBX5,3.4223687693465434
TCF12,2.932567699156676
TCF3,3.198995417223872
TCF4,2.737294152126198
TCF7,3.161701357649519
TCF7L1,3.210125317454176
TCF7L2,3.163554889584887
TEAD1,2.6897130117169628
TEAD3,3.103005511305357
TEAD4,2.7497191505668783
TFAP2A,3.034169189796829
TFAP2C,2.9413668236543136
TFAP4,2.947146638749751
TFDP1,3.388926610737576
TFE3,3.3280326726189537
TFEB,3.8597891068952324
THAP11,3.2765379034804583
THRB,3.051121495092046
TP53,3.3863273724851113
TP63,3.145912177279352
TP73,2.37110424370274
TWIST1,3.182818403588924
USF1,3.1880639180465455
USF2,3.2337347077289755
VDR,3.208157609418556
WT1,2.9321181386212
XBP1,4.278631200893872
YY1,3.045337223615441
YY2,3.6865212624806194
ZFX,3.6439665543635438
ZNF143,3.1737454276344272
ZNF263,2.9098572568562484
ZNF740,3.5481987025511037
