ENSG00000184163.3,1.845,3.554,0.643,1.74,1.707,2.043,1.869,0.786,0.926,0.522,2.335,2.409,1.138,1.007,0.675,1.611,0.678,0.564,1.03,0.757,2.707,1.521,1.735,2.339,1.99,2.413,6.419,1.82,2.47,1.671,3.207,0.539,0.77,4.816,2.348,1.202,2.373,0.998,0.609,1.685,1.692,0.417,1.618,1.893,9.536,6.747,9.342,1.54,1.501,7.441,2.418,2.018,2.144,0.835
ENSG00000160087.20,23.53,22.51,22.15,26.575,25.77,23.98,24.98,12.26,15.025,12.775,34.11,33.64,17.52,18.35,13.51,16.005,13.795,11.5,13.62,12.38,24.15,28.465,33.97,31.21,32.485,27.63,23.14,27.39,27.9,26.61,31.13,11.91,9.701,16.68,21.12,13.59,27.86,21.43,15.69,26.91,28.425,11.16,31.57,29.42,27.32,28.39,25.81,33.47,22,94.5,30.94,34.81,26.235,14.37
ENSG00000230415.1,3.131,3.36,4.703,3.199,3.33,2.503,4.563,2.631,3.393,3.549,19.13,25.04,6.77,4.649,3.044,3.227,4.542,2.737,3.219,2.571,4.416,1.546,1.89,5.836,10.085,6.723,3.131,5.383,1.861,5.163,12.34,1.857,1.337,2.259,2.684,2.249,3.165,3.586,1.097,9.097,12.665,1.418,13.98,6.214,2.474,2.045,4.777,5.125,3.403,25.87,6.396,9.913,4.873,0.547
ENSG00000278073.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131584.18,38.15,40.29,38.41,35.815,39.045,37.18,87.83,66.635,82.41,104.85,529.2,581.4,137.1,101,85.83,54.99,110.1,89.29,56.39,37.34,41.25,22.385,26.55,112.8,105,80.85,47.275,66.73,73.45,64.43,72.18,32.29,24.21,26.91,23.29,20.57,52.93,49.46,20.58,65.9,73.715,14.76,159.5,69.74,121.25,106.4,46.28,53.89,38.59,28.84,56.01,102,100.8,16.85
ENSG00000169972.11,12.79,12.24,17.34,13.015,13.525,12.54,19.06,7.301,9.42,6.97,20.22,19.84,11.03,10.7,7.616,7.579,6.936,6.526,9.475,7.148,15.39,19.385,25.49,26.33,25.11,13.96,12.97,14.8,28.95,13.77,22.2,8.176,5.756,8.667,9.264,8.399,16.005,20.39,5.728,15.1,17.715,9.089,28.19,21.07,28.985,30.14,13.37,16.3,13.54,23.98,16.43,25.395,23.455,7.466
ENSG00000283712.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,19.61,15.82,13.77,44.22,34,46.48,38.33,7.11,7.608,8.007,58.35,70.23,11.8,9.01,8.254,8.806,7.621,5.955,11.01,7.326,22.81,10.265,12.89,64.69,57.055,36.34,20.67,33.05,17.95,29.53,51.93,9.217,6.879,10.06,17.28,6.05,23.18,22.33,10.61,35.07,54.39,11.645,41.44,34.57,26.63,26.52,23.05,20.19,17.26,16.69,40.1,73.015,36.905,3.024
ENSG00000224051.6,26.27,21.88,23.84,24.07,23.99,21.06,24.58,14.015,20.235,13.99,23.94,24.89,28.27,26.06,16.76,12.79,14.175,12.85,14.7,14.67,27.73,18.25,22.54,32.61,31.285,23.07,32.55,23.47,56.69,23.56,27.74,20.12,50.785,21.97,27.515,40.09,24.19,38.65,21.89,25.58,20.585,10.55,13.8,32.52,43.36,47.73,29.8,31.55,33.74,128.3,28.17,32.385,39.155,13.08
ENSG00000127054.20,47.24,43.2,37.69,80.9,66.78,82.18,84.07,19.755,23.895,22.93,125.6,126.6,33.38,30.69,22.81,25.485,25.34,20.42,30.78,22.06,52.58,45.02,47.185,122.5,106.05,83.28,51.285,75.16,42.41,70.75,105.8,23.76,22.29,27.8,38.525,20.78,55.565,45.945,34.33,73.71,111.25,25.7,73.87,81.88,58.065,57.59,52.52,58.4,45.11,98.04,81.37,136.75,80.105,21.27
